                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.64541,                0.44619,                0.94103,                0.85465,                0.85355,                0.90275,                0.61975,                    1.1,                0.85739,                0.97004,              0.0009209,              0.0009209,              0.0009209
                    111,                0.65099,                0.43598,                0.93162,                 0.8205,                0.82258,                0.84171,                0.58078,                  1.037,                0.89446,                0.93347,               0.000911,               0.000911,               0.000911
                    112,                0.65175,                0.44635,                0.93453,                0.81688,                0.82258,                0.87385,                0.61236,                 1.0761,                0.81401,                0.98338,              0.0009011,              0.0009011,              0.0009011
                    113,                0.68784,                0.45993,                0.94599,                0.82294,                0.82463,                0.87524,                0.60303,                 1.1397,                0.80251,                 1.0153,              0.0008912,              0.0008912,              0.0008912
                    114,                0.65608,                 0.4519,                0.94478,                0.88284,                0.85083,                0.90632,                0.63894,                 1.0886,                0.75798,                 0.9938,              0.0008813,              0.0008813,              0.0008813
                    115,                0.65538,                 0.4345,                0.92696,                0.85386,                0.84822,                0.89249,                0.62604,                 1.0914,                0.77881,                 1.0025,              0.0008714,              0.0008714,              0.0008714
                    116,                0.63994,                0.42553,                0.92426,                0.87784,                0.85484,                0.90689,                0.61249,                 1.0877,                 0.7719,                0.97559,              0.0008615,              0.0008615,              0.0008615
                    117,                0.63536,                0.44551,                0.92908,                 0.8914,                0.85484,                0.91607,                0.64497,                0.99531,                0.69377,                0.93435,              0.0008516,              0.0008516,              0.0008516
                    118,                0.63158,                0.42335,                0.91252,                0.89851,                0.85676,                0.91486,                0.62043,                  1.094,                0.69196,                0.94523,              0.0008417,              0.0008417,              0.0008417
                    119,                  0.638,                0.43226,                0.91092,                0.85415,                0.87097,                0.91374,                0.60909,                  1.098,                0.72756,                0.94162,              0.0008318,              0.0008318,              0.0008318
                    120,                0.62179,                0.45142,                0.92255,                0.82332,                0.90195,                0.91241,                0.61325,                 1.0637,                0.71271,                0.94316,              0.0008219,              0.0008219,              0.0008219
                    121,                0.60817,                0.43321,                0.91939,                0.85407,                 0.8871,                0.93187,                0.65578,                 1.0196,                0.69975,                0.92266,               0.000812,               0.000812,               0.000812
                    122,                0.63611,                 0.4223,                0.92791,                0.88747,                0.89044,                0.93473,                0.64054,                0.99931,                0.67823,                0.92613,              0.0008021,              0.0008021,              0.0008021
                    123,                0.59828,                0.41231,                 0.9128,                0.88954,                0.85484,                0.91156,                0.62734,                 1.0675,                0.72977,                0.96019,              0.0007922,              0.0007922,              0.0007922
                    124,                0.61663,                0.43167,                0.91759,                0.85932,                0.87097,                0.91552,                0.63998,                 1.1108,                0.76916,                 1.0072,              0.0007823,              0.0007823,              0.0007823
                    125,                0.60987,                0.41941,                0.90846,                0.90804,                0.85484,                0.92538,                0.64493,                 1.0593,                0.74307,                0.97827,              0.0007724,              0.0007724,              0.0007724
